,title_calender,year,month,day,link_calender,description,category_calender,title_year,link_year,category_year
12,سید حسن حسینی,1383,1,9,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D8%AD%D8%B3%DB%8C%D9%86%DB%8C,,Death,سید حسن حسینی، شاعر، مترجم و نویسنده (زاده1335),https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D8%AD%D8%B3%DB%8C%D9%86%DB%8C,Death
13,ژاله کاظمی,1383,1,12,https://fa.wikipedia.org/wiki/%DA%98%D8%A7%D9%84%D9%87_%DA%A9%D8%A7%D8%B8%D9%85%DB%8C,,Death,ژاله کاظمی، دوبلور، گوینده، مجری تلویزیون و نقاش (زاده1322),https://fa.wikipedia.org/wiki/%DA%98%D8%A7%D9%84%D9%87_%DA%A9%D8%A7%D8%B8%D9%85%DB%8C,Death
14,جلیل زندی,1380,1,12,https://fa.wikipedia.org/wiki/%D8%AC%D9%84%DB%8C%D9%84_%D8%B2%D9%86%D8%AF%DB%8C,,Death,سرتیپ دومجلیل زندی، خلبان (زاده1330),https://fa.wikipedia.org/wiki/%D8%AC%D9%84%DB%8C%D9%84_%D8%B2%D9%86%D8%AF%DB%8C,Death
15,پروین اعتصامی,1320,1,15,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DB%8C%D9%86_%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D9%85%DB%8C,,Death,پروین اعتصامی، شاعر معاصر ایران,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DB%8C%D9%86_%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D9%85%DB%8C,Death
16,محمدعلی‌شاه,1304,1,16,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C%E2%80%8C%D8%B4%D8%A7%D9%87,,Death,محمدعلی شاه، ششمین شاه قاجار (زاده1251),https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D8%B4%D8%A7%D9%87,Death
17,همدم‌السلطنه پهلوی,1371,1,16,https://fa.wikipedia.org/wiki/%D9%87%D9%85%D8%AF%D9%85%E2%80%8C%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D9%86%D9%87_%D9%BE%D9%87%D9%84%D9%88%DB%8C,,Death,همدم السلطنه پهلوی، نخستین فرزندرضاشاه پهلوی,https://fa.wikipedia.org/wiki/%D9%87%D9%85%D8%AF%D9%85_%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D9%86%D9%87_%D9%BE%D9%87%D9%84%D9%88%DB%8C,Death
18,مازیار,1376,1,16,https://fa.wikipedia.org/wiki/%D9%85%D8%A7%D8%B2%DB%8C%D8%A7%D8%B1_(%D8%AE%D9%88%D8%A7%D9%86%D9%86%D8%AF%D9%87),,Death,مازیار (خواننده)، خواننده (زاده1331),https://fa.wikipedia.org/wiki/%D9%85%D8%A7%D8%B2%DB%8C%D8%A7%D8%B1_(%D8%AE%D9%88%D8%A7%D9%86%D9%86%D8%AF%D9%87),Death
19,کیومرث پوراحمد,1402,1,16,https://fa.wikipedia.org/wiki/%DA%A9%DB%8C%D9%88%D9%85%D8%B1%D8%AB_%D9%BE%D9%88%D8%B1%D8%A7%D8%AD%D9%85%D8%AF,,Death,کیومرث پوراحمد، کارگردان، تدوین گر و نویسنده (زاده1328),https://fa.wikipedia.org/wiki/%DA%A9%DB%8C%D9%88%D9%85%D8%B1%D8%AB_%D9%BE%D9%88%D8%B1%D8%A7%D8%AD%D9%85%D8%AF,Death
20,نعمت‌الله گرجی,1379,1,17,https://fa.wikipedia.org/wiki/%D9%86%D8%B9%D9%85%D8%AA%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%DA%AF%D8%B1%D8%AC%DB%8C,,Death,نعمت الله گرجی، بازیگر ایرانی (زادهٔ1305),https://fa.wikipedia.org/wiki/%D9%86%D8%B9%D9%85%D8%AA%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%DA%AF%D8%B1%D8%AC%DB%8C,Death
21,علیرضا افضلی‌پور,1372,1,18,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%D8%B1%D8%B6%D8%A7_%D8%A7%D9%81%D8%B6%D9%84%DB%8C%E2%80%8C%D9%BE%D9%88%D8%B1,,Death,علیرضا افضلی پور، مهندس شیمی و بنیانگذاردانشگاه کرمان(زاده1288),https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%D8%B1%D8%B6%D8%A7_%D8%A7%D9%81%D8%B6%D9%84%DB%8C%E2%80%8C%D9%BE%D9%88%D8%B1,Death
22,سیروس قایقران,1377,1,18,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%B1%D9%88%D8%B3_%D9%82%D8%A7%DB%8C%D9%82%D8%B1%D8%A7%D9%86,,Death,سیروس قایقران، بازیکن فوتبال (زاده1340),https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%B1%D9%88%D8%B3_%D9%82%D8%A7%DB%8C%D9%82%D8%B1%D8%A7%D9%86,Death
23,فردین,1379,1,18,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%AF%DB%8C%D9%86,,Death,محمدعلی فردین، بازیگر، کارگردان و کشتی گیر آزاد کار (زادهٔ1309),https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D9%81%D8%B1%D8%AF%DB%8C%D9%86,Death
24,فردین,1379,1,18,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%AF%DB%8C%D9%86,,Death,سیروس جراح زاده، بازیگر و کارگردان (زاده1309),https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%B1%D9%88%D8%B3_%D8%AC%D8%B1%D8%A7%D8%AD%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87,Death
25,صادق هدایت,1330,1,19,https://fa.wikipedia.org/wiki/%D8%B5%D8%A7%D8%AF%D9%82_%D9%87%D8%AF%D8%A7%DB%8C%D8%AA,,Death,صادق هدایتنویسنده، مترجم وروشنفکرایرانی.,https://fa.wikipedia.org/wiki/%D8%B5%D8%A7%D8%AF%D9%82_%D9%87%D8%AF%D8%A7%DB%8C%D8%AA,Death
26,عفت تجارت‌چی,1378,1,19,https://fa.wikipedia.org/wiki/%D8%B9%D9%81%D8%AA_%D8%AA%D8%AC%D8%A7%D8%B1%D8%AA%E2%80%8C%DA%86%DB%8C,,Death,عفت تجارت چی، اولین خلبان زن ایرانی (زاده1296),https://fa.wikipedia.org/wiki/%D8%B9%D9%81%D8%AA_%D8%AA%D8%AC%D8%A7%D8%B1%D8%AA%E2%80%8C%DA%86%DB%8C,Death
27,سید مرتضی آوینی,1372,1,20,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%B1%D8%AA%D8%B6%DB%8C_%D8%A2%D9%88%DB%8C%D9%86%DB%8C,,Death,شهیدمرتضی آوینی، کارگردان، مستندساز، نویسنده و عکاس (زاده1326),https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%B6%DB%8C_%D8%A2%D9%88%DB%8C%D9%86%DB%8C,Death
28,سید مرتضی آوینی,1372,1,20,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%B1%D8%AA%D8%B6%DB%8C_%D8%A2%D9%88%DB%8C%D9%86%DB%8C,,Death,شهیدمحمدسعید یزدان پرست، مستندساز (زاده1346),https://fa.wikipedia.org/w/index.php?title=%D9%85%D8%AD%D9%85%D8%AF%D8%B3%D8%B9%DB%8C%D8%AF_%DB%8C%D8%B2%D8%AF%D8%A7%D9%86%E2%80%8C%D9%BE%D8%B1%D8%B3%D8%AA&action=edit&redlink=1,Death
29,حسین سرشار,1374,1,20,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D8%B1%D8%B4%D8%A7%D8%B1,,Death,حسین سرشار، خواننده اپرا (زاده1313),https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D8%B1%D8%B4%D8%A7%D8%B1,Death
30,حسین سرشار,1374,1,20,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D8%B1%D8%B4%D8%A7%D8%B1,,Death,پیمان سنندجی زاده، بازیگر (زاده1352),https://fa.wikipedia.org/wiki/%D9%BE%DB%8C%D9%85%D8%A7%D9%86_%D8%B3%D9%86%D9%86%D8%AF%D8%AC%DB%8C%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87,Death
31,علی صیاد شیرازی,1378,1,21,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%B5%DB%8C%D8%A7%D8%AF_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C,,Death,امیر سپهبدعلی صیاد شیرازی، فرماندهنیروی زمینی ارتش جمهوری اسلامی ایران{ترور} (زادهٔ1323),https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%B5%DB%8C%D8%A7%D8%AF_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C,Death
32,رضا فاضلی,1388,1,24,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%D9%81%D8%A7%D8%B6%D9%84%DB%8C,,Death,رضا فاضلی، بازیگر و مجری برنامه های تلویزیون. (زاده1314),https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%D9%81%D8%A7%D8%B6%D9%84%DB%8C,Death
33,محمد هژبر ابراهیمی,1402,1,27,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%87%DA%98%D8%A8%D8%B1_%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85%DB%8C,,Death,محمد هژبر ابراهیمی، مجسمه ساز (زاده1305),https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%87%DA%98%D8%A8%D8%B1_%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85%DB%8C,Death
34,بیژن جزنی,1354,1,29,https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%DA%98%D9%86_%D8%AC%D8%B2%D9%86%DB%8C,,Death,بیژن جزنی، فعال سیاسی چپ گرای ایرانی,https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%DA%98%D9%86_%D8%AC%D8%B2%D9%86%DB%8C,Death
35,جلال مقدم,1375,1,29,https://fa.wikipedia.org/wiki/%D8%AC%D9%84%D8%A7%D9%84_%D9%85%D9%82%D8%AF%D9%85,,Death,جلال مقدم،منتقدوبازیگرسینما. (زاده1308),https://fa.wikipedia.org/wiki/%D9%85%D9%86%D8%AA%D9%82%D8%AF,Death
36,محمد میرزا کاشف السلطنه,1308,1,31,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%DA%A9%D8%A7%D8%B4%D9%81_%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D9%86%D9%87,,Death,محمد میرزا کاشف السلطنه، سیاستمدار، نویسنده و پدر چای ایران,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%DA%A9%D8%A7%D8%B4%D9%81_%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D9%86%D9%87,Death
37,خلیل عقاب,1402,1,31,https://fa.wikipedia.org/wiki/%D8%AE%D9%84%DB%8C%D9%84_%D8%B9%D9%82%D8%A7%D8%A8,,Death,خلیل عقاب، سیرک باز، باستانی کار پهلوان، هنرپیشه بنیان گذار سیرک خلیل عقاب و پدر سیرک ایران (زاده1303),https://fa.wikipedia.org/wiki/%D8%AE%D9%84%DB%8C%D9%84_%D8%B9%D9%82%D8%A7%D8%A8,Death
